pair_id,repo,security_event_id,label,kind,log_loc,log_size_bytes,directory_depth,log_prior_touches_total,log_prior_touches_365d,log_total_churn,log_churn_365d,file_age_days,cyclomatic_density,halstead_volume,composite_score
42,libxml2,CVE-2017-9048,0,bugfix,8.768729817231666,12.281161564969176,0.0,5.924255797414532,3.713572066704308,10.250546409755898,6.858565034791365,8627.977743055555,0.12708041686109814,0.19410476063405807,0.2791460433556869
43,libxml2,CVE-2017-9049,1,security,9.555205857955418,12.998990497639108,0.0,6.472346294500901,1.9459101490553132,11.173023353045823,6.066108090103747,6871.540717592593,0.2181058298505348,0.21947568544222484,0.2944175665522143
43,libxml2,CVE-2017-9049,0,bugfix,9.055672891964043,12.441172435311096,0.0,6.354370040797351,4.356708826689592,10.774885515519546,8.916103530553727,9360.450601851851,0.24141956572495915,0.13706874068072175,0.29544817825874636
44,libxml2,CVE-2017-9049,1,security,8.302017809751204,11.672396253603171,0.0,4.189654742026425,1.0986122886681098,10.027341014703126,2.70805020110221,4361.78431712963,0.10915405606549243,0.14030120235749965,0.2678997766656262
44,libxml2,CVE-2017-9049,0,bugfix,8.102889134640868,11.470205837750067,0.0,4.736198448394496,1.9459101490553132,8.968650903374874,5.602118820879701,8437.23755787037,0.20920375416288223,0.06899979714194462,0.2812024730231424
45,libxml2,CVE-2017-9050,1,security,9.555205857955418,12.998990497639108,0.0,6.472346294500901,1.9459101490553132,11.173023353045823,6.066108090103747,6871.540717592593,0.2181058298505348,0.21947568544222484,0.2944175665522143
45,libxml2,CVE-2017-9050,0,bugfix,8.990067695753655,12.373936018016208,0.0,6.406879986069314,3.713572066704308,10.798738492141016,7.4999765409521215,9714.27181712963,0.24171029668411867,0.12620948453701786,0.29429690823549437
46,libxml2,CVE-2017-9050,1,security,8.302017809751204,11.672396253603171,0.0,4.189654742026425,1.0986122886681098,10.027341014703126,2.70805020110221,4361.78431712963,0.10915405606549243,0.14030120235749965,0.2678997766656262
46,libxml2,CVE-2017-9050,0,bugfix,7.745002803515839,11.051873648422314,0.0,3.9512437185814275,1.0986122886681098,8.395703293828527,3.295836866004329,7170.5960069444445,0.16414032048505847,0.02045711442492042,0.28407951179487984
47,libxml2,CVE-2018-14404,1,security,9.508442961755847,12.94974182310431,0.0,6.061456918928017,3.091042453358316,10.800860465555639,6.517671272912275,6954.854270833333,0.20776425178147268,0.21586096882144776,0.2914786875108115
47,libxml2,CVE-2018-14404,0,bugfix,8.987696695703624,12.372556952516248,0.0,6.395261598115449,4.61512051684126,10.79583389183349,9.0432226489245,9496.665914351852,0.2420342371610646,0.12550285698187302,0.2943448680986757
48,libxml2,CVE-2018-14567,1,security,6.492239835020471,10.102379394048045,0.0,2.6390573296152584,1.3862943611198906,7.20414929203594,3.367295829986474,2375.927372685185,0.19878603945371776,0.0,0.31502635543343976
