repo,security_commit,security_event_id,security_ground_truth_policy,bugfix_commit,n_pairs,mean_delta_composite,median_delta_composite,positive_share
php-src,1bd103df00f49cf4d4ade2cfe3f456ac058a4eae,CVE-2016-7127,strict_nvd_event,41e11a627da684c79f14295410bbf169092b1fc2,1,0.005427058907636562,0.005427058907636562,1.0
php-src,b101a6bbd4f2181c360bd38e7683df4a03cba83e,CVE-2015-8617,strict_nvd_event,53f2aa93ae2bfbb4291a32f27cbbce78ff6b8d13,1,0.005352924619844379,0.005352924619844379,1.0
php-src,a44c89e8af7c2410f4bfc5e097be2a5d0639a60c,CVE-2016-5772,strict_nvd_event,719419a6e5fe35375a8820c2bc2da115b827aac5,1,0.0018365391086349603,0.0018365391086349603,1.0
php-src,16b3003ffc6393e250f069aa28a78dc5a2c064b2,CVE-2016-10161,strict_nvd_event,8796d75365087d4281ae13eb0dcb61459d0aeb5a,1,-4.329371188482867e-05,-4.329371188482867e-05,0.0
php-src,c395c6e5d7e8df37a21265ff76e48fe75ceb5ae6,CVE-2016-5767,strict_nvd_event,2c658f422dada64841179f2ad46361d37aae02f2,1,-0.0008674499956852766,-0.0008674499956852766,0.0
php-src,0bfb970f43acd1e81d11be1154805f86655f15d5,CVE-2016-7414,strict_nvd_event,2c3b56ded0edc5a8dcb6322de2868dd094d4edf6,2,-0.008693012527862587,-0.008693012527862587,0.5
php-src,ecb7f58a069be0dec4a6131b6351a761f808f22e,CVE-2016-7417,strict_nvd_event,b2c891f88e7c07a42f7a70f12b24b04affc79ea5,1,-0.010370768082680004,-0.010370768082680004,0.0
php-src,2fefae47716d501aec41c1102f3fd4531f070b05,CVE-2014-3597,strict_nvd_event,b7fdfb71478f55d6ebf6c812c467ed260ad26d80,1,-0.011545214303512796,-0.011545214303512796,0.0
php-src,3f627e580acfdaf0595ae3b115b8bec677f203ee,CVE-2016-5771,strict_nvd_event,983be089c0c800dfae9a3b9bdb974e35aceeeabd,1,-0.013818708139579639,-0.013818708139579639,0.0
php-src,426aeb2808955ee3d3f52e0cfb102834cdb836a5,CVE-2016-7129,strict_nvd_event,50264b03a073e8ab3157cda288dd3b8322346381,1,-0.013845198174934181,-0.013845198174934181,0.0
php-src,698a691724c0a949295991e5df091ce16f899e02,CVE-2016-7130,strict_nvd_event,4ca6bde32fcb3d32e57b7a976189a7bd0954a941,1,-0.014274209065492316,-0.014274209065492316,0.0
